#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments
76430;13:53:23;IRP_MJ_READ;UP;STATUS_SUCCESS;55 aa 5a 13 00 b9 3b cb c2 b6 d1 19 f8 b4 f7 47 8e cb c0 b7 d2 18 f8 b5 55 aa 5a 0d 00 26 32 7d 55 84 7d 57 86 7e 57 84 95 56 55 aa 5a 17 00 84 3a 63 43 da ee a9 11 90 6c 4f bf a6 63 41 d9 ed ad 11 78 6f a7 bc ;"UªZ..¹;ËÂ¶Ñ.ø´÷GŽËÀ·Ò.øµUªZ..&2}U„}W†~W„•VUªZ..„:cCÚî©.lO¿¦cAÙí­.xo§¼";70;;COM7;
76431;13:53:23;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;03 04 00 00 ;....;4;;COM7;
76435;13:53:23;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 04 00 00 ;....;4;;COM7;
76444;13:53:23;IRP_MJ_READ;UP;STATUS_SUCCESS;55 aa 5a 12 00 b3 36 55 4d 1c 08 bb bb f2 55 4f 18 0b b8 bb 1a 56 a5 55 aa 5a 13 00 91 39 81 09 28 24 a7 37 be 02 81 0b 2e 27 a4 37 be 01 69 ;UªZ..³6UM..»»òUO..¸».V¥UªZ..‘9.($§7¾...'¤7¾.i;47;;COM7;
76453;13:53:23;IRP_MJ_WRITE;DOWN;;58 34 27 d0 38 04 e4 27 d5 39 fb e5 27 d1 ;X4'Ð8.ä'Õ9ûå'Ñ;14;14;COM7;
76454;13:53:23;IRP_MJ_WRITE;UP;STATUS_SUCCESS;58 34 27 d0 38 04 e4 27 d5 39 fb e5 27 d1 ;X4'Ð8.ä'Õ9ûå'Ñ;14;;COM7;
76457;13:53:23;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;05 04 00 00 ;....;4;;COM7;
76461;13:53:23;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 04 00 00 ;....;4;;COM7;
76470;13:53:23;IRP_MJ_READ;UP;STATUS_SUCCESS;55 aa 5a 12 00 36 38 45 b4 c0 13 33 0a 5e 59 01 44 b1 c1 ec 32 0a 5f 55 aa 5a 0e 00 2f 32 dc ff af dc fa a9 df fc af dc df af ;UªZ..68E´À.3.^Y.D±Áì2._UªZ../2Üÿ¯Üú©ßü¯Üß¯;42;;COM7;
76599;13:53:24;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 04 00 00 ;....;4;;COM7;
76608;13:53:24;IRP_MJ_READ;UP;STATUS_SUCCESS;55 aa 5a 09 00 b3 34 3a 05 3d 4c 78 3a 05 ;UªZ..³4:.=Lx:.;14;;COM7;
76611;13:53:24;IRP_MJ_WRITE;DOWN;;55 aa 5a 0b 00 ;UªZ..;5;5;COM7;
76612;13:53:24;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a 0b 00 ;UªZ..;5;;COM7;
76613;13:53:24;IRP_MJ_WRITE;DOWN;;d3 36 7b a6 66 8a a6 71 55 7b a5 ;Ó6{¦fŠ¦qU{¥;11;11;COM7;
